orcid,name,n_papers,stab5_mean,stab5_std,stab5_min
0009-0002-4821-3809,dr inż. Łukasz Michalak,20,0.9895857441425323,0.007719564982256306,0.9620881080627441
0000-0003-2120-2595,prof. UAM dr hab. Joanna Helena Berlińska,20,0.9975455665588379,0.0009844190594148169,0.9935637712478638
0000-0002-0608-0801,dr inż. Dawid Ewald,20,0.9935583621263504,0.0025335771968831625,0.9861013293266296
0000-0001-8066-4525,prof. dr hab. Witold Wnuk,20,0.9943802917003631,0.0028510535475415734,0.9779965877532959
0000-0001-6868-8815,dr Abhishek Goswami,19,0.988558144569397,0.009190817970776071,0.9426370859146118
0000-0001-7176-8330,prof. UAM dr hab. Zbigniew Palka,19,0.994966989159584,0.0021018112976304484,0.9866044521331787
0000-0003-1385-6572,dr Andrzej Wójtowicz,19,0.993931650519371,0.002362007191708978,0.9856339693069458
0000-0003-1206-2076,dr Tomasz Kazimierz Piłka,19,0.9949595826864243,0.0031179015361355532,0.9838303327560425
0000-0002-7889-4505,dr Joanna Siwek,19,0.9937168043851853,0.0036835328488480645,0.9811040163040161
0000-0001-5712-8513,dr inż. Piotr Mizerka,18,0.9954910904169083,0.002980204336552836,0.9798522591590881
0000-0001-7868-2791,dr Sylwia Antoniuk,18,0.9953690767288208,0.002081174838700098,0.987991452217102
0000-0003-2906-844X,prof. UAM dr hab. Paweł Foralewski,18,0.9976118344068527,0.0009357598452984318,0.9941204786300659
0000-0001-8827-3318,dr Rafał Tomasz Jaworski,18,0.9945763385295868,0.0027439710363711136,0.9820685386657715
0000-0002-9767-2879,prof. UAM dr hab. Maciej Grześkowiak,17,0.9970963263511657,0.0012210667869968468,0.992678701877594
0000-0001-8183-6157,dr Sohail Farhangi,16,0.9958917528390885,0.0017760164097868367,0.9895100593566895
0000-0002-0760-0637,prof. UAM dr hab. Maciej Łuczak,16,0.9953852498531341,0.001833506602530598,0.9860680103302002
0000-0002-7252-0721,prof. UAM dr hab. Daria Barbara Bugajewska,16,0.9973695456981659,0.0010037440677596614,0.9932365417480469
0000-0002-9763-1452,prof. dr hab. Krzysztof Pawałowski,15,0.9946351224184036,0.002356796977630842,0.9863063097000122
0000-0003-3501-0164,prof. UAM dr hab. Marek Wisła,15,0.9977496957778931,0.0006894228096837044,0.9951326847076416
0000-0001-8283-7872,dr Bartłomiej Przybylski,15,0.9952850043773651,0.0024566457882529954,0.9844664335250854
0000-0002-2445-2189,dr Paweł Duch,15,0.9926943278312683,0.004186348718620681,0.9770910739898682
0000-0002-5056-2808,dr Paweł Marek Skórzewski,15,0.9963678807020188,0.0018553123810786238,0.9891507625579834
0000-0002-3536-9102,prof. UAM dr hab. Radosław Kaczmarek,14,0.9983698207139969,0.0003254608384544963,0.9973644018173218
0000-0002-5492-3383,prof. UAM dr hab. Marek Nawrocki,14,0.9969869983196259,0.0010028038705790425,0.9930183291435242
0000-0001-9540-1293,dr Paweł Mleczko,14,0.9983296006917953,0.0006560168516415198,0.9954519867897034
0000-0003-4265-7353,dr Janusz Przewocki,14,0.9898301440477372,0.0065848829398805495,0.9632358551025391
0000-0003-0955-4571,dr inż. Marcin Witkowski,14,0.9962748450040817,0.0015924295849424979,0.9924081563949585
0000-0003-0381-0351,Grzegorz Adamski,13,0.9942739993333817,0.003794243613303677,0.9839997291564941
0000-0001-5455-1906,prof. UAM dr hab. Andrzej Sołtysiak,12,0.9973094189167022,0.001029852836148419,0.9935663938522339
0000-0003-4473-0008,dr inż. Artur Adam Nowakowski,12,0.9963169246912003,0.0011582580504288416,0.9925912618637085
0000-0002-7549-993X,dr Jędrzej Garnek,11,0.9967486864328384,0.0014766570593838953,0.9908138513565063
0000-0002-8521-2525,dr Wojciech Wawrzyniak,11,0.9981293392181396,0.00041363111006045134,0.9969768524169922
0000-0002-8957-9594,prof. UAM dr hab. Artur Michalak,11,0.99644466817379,0.0007347900526625151,0.994735598564148
0000-0001-7119-7814,dr Tomasz Ciaś,11,0.997214921116829,0.0025478796641210375,0.987573504447937
0000-0002-5395-3038,dr Adam Przestacki,11,0.9983653110265732,0.0006257515984243348,0.996080756187439
