orcid,total_works,with_abstract,without_abstract,abstract_percentage,with_doi,without_doi,doi_percentage,total_citations,avg_citations_per_work
0000-0002-9919-6757,9,6,3,66.7%,8,1,88.9%,6,0.7
0000-0002-1365-8587,1,1,0,100.0%,1,0,100.0%,0,0.0
0000-0003-4036-3044,8,7,1,87.5%,8,0,100.0%,6,0.8
0000-0001-8379-9484,49,43,6,87.8%,44,5,89.8%,103,2.1
0000-0002-6454-183X,7,4,3,57.1%,5,2,71.4%,30,4.3
0000-0002-7336-0993,24,17,7,70.8%,22,2,91.7%,44,1.8
0000-0002-6190-6522,51,33,18,64.7%,51,0,100.0%,291,5.7
0000-0001-5494-0266,8,6,2,75.0%,8,0,100.0%,23,2.9
0000-0002-9147-3545,33,23,10,69.7%,31,2,93.9%,207,6.3
0000-0002-8311-2117,228,82,146,36.0%,205,23,89.9%,1260,5.5
0000-0002-5492-3383,24,13,11,54.2%,23,1,95.8%,70,2.9
0000-0002-9763-1452,30,13,17,43.3%,27,3,90.0%,167,5.6
0000-0001-6087-3610,34,9,25,26.5%,33,1,97.1%,303,8.9
0000-0003-4833-8601,66,26,40,39.4%,46,20,69.7%,247,3.7
0000-0002-7484-2900,111,63,48,56.8%,100,11,90.1%,1105,10.0
0000-0002-0608-0801,53,20,33,37.7%,52,1,98.1%,419,7.9
0000-0003-0015-9348,65,44,21,67.7%,55,10,84.6%,230,3.5
0000-0003-1045-122X,151,88,63,58.3%,141,10,93.4%,1194,7.9
0000-0001-8066-4525,37,20,17,54.1%,32,5,86.5%,227,6.1
0000-0003-4604-4984,2,2,0,100.0%,2,0,100.0%,1,0.5
0000-0002-8957-9594,26,10,16,38.5%,18,8,69.2%,48,1.8
0000-0003-0270-5664,48,29,19,60.4%,44,4,91.7%,299,6.2
0000-0002-1867-0964,69,46,23,66.7%,66,3,95.7%,355,5.1
0000-0003-2299-0888,2,0,2,0.0%,1,1,50.0%,0,0.0
0000-0001-5933-9955,80,50,30,62.5%,77,3,96.2%,687,8.6
0000-0003-4473-0008,14,12,2,85.7%,11,3,78.6%,16,1.1
0000-0003-2906-844X,31,16,15,51.6%,30,1,96.8%,221,7.1
0000-0002-1829-2289,10,6,4,60.0%,9,1,90.0%,12,1.2
0000-0001-8183-6157,17,15,2,88.2%,14,3,82.4%,4,0.2
0000-0002-2723-3790,5,5,0,100.0%,5,0,100.0%,1,0.2
0000-0002-7545-5152,3,3,0,100.0%,3,0,100.0%,2,0.7
0000-0002-5981-1057,14,8,6,57.1%,14,0,100.0%,21,1.5
0000-0003-0184-6211,7,6,1,85.7%,7,0,100.0%,3,0.4
0000-0003-0381-0351,21,12,9,57.1%,20,1,95.2%,135,6.4
