Model,Embedding_Dim,Coauthor_Pairs,Coauthor_Mean_Sim,Random_Mean_Sim,Difference,Effect_Size_d,p_value
SPECTER,768,57,0.78708917,0.6237932,0.16329598,1.5069329,1.8199478126455704e-17
MiniLM,384,57,0.41865572,0.109059304,0.30959642,2.1903403,9.110185953396177e-20
