main_author_orcid,openalex_id,title,publication_year,publication_date,doi,type,cited_by_count,journal,topics,co_authors,co_author_orcids,num_co_authors,abstract,keywords
0000-0002-3517-9034,W2027100854,Sum-Free Subsets of Right Cancellative Semigroups,2001,2001-10-01,https://doi.org/10.1006/eujc.2001.0520,article,4,European Journal of Combinatorics,Limits and Structures in Graph Theory; Graph theory and applications; Advanced Graph Theory Research,Tomasz Schoen,0000-0002-9427-3127,1,,Mathematics; Combinatorics; Disjoint sets; Pairwise comparison; Semigroup; Natural number; Cancellative semigroup; Discrete mathematics; Statistics
0000-0002-3517-9034,W2597654840,"On multicolor Ramsey numbers for loose <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" id=""mml1"" display=""inline"" overflow=""scroll"" altimg=""si1.gif""><mml:mi>k</mml:mi></mml:math>-paths of length three",2018,2018-03-08,https://doi.org/10.1016/j.ejc.2018.02.033,article,3,European Journal of Combinatorics,Limits and Structures in Graph Theory; Advanced Topology and Set Theory; Advanced Graph Theory Research,Joanna Polcyn; Andrzej Ruciński,0000-0002-4777-2556; 0000-0002-0742-7694,2,,Mathematics; Combinatorics; Ramsey's theorem; Scroll; Path (computing); Hypergraph; Computer science; Theology
0000-0002-3517-9034,W2037759693,On Induced Ramsey Numbers for Graphs with Bounded Maximum Degree,1996,1996-03-01,https://doi.org/10.1006/jctb.1996.0025,article,16,Journal of Combinatorial Theory Series B,Limits and Structures in Graph Theory; Advanced Graph Theory Research; Advanced Topology and Set Theory,,,0,,Ramsey's theorem; Degree (music); Combinatorics; Mathematics; Conjecture; Bounded function; Monochromatic color; Ramsey theory; Discrete mathematics; Graph; Physics; Mathematical analysis
0000-0002-3517-9034,W2051413794,On induced Ramsey numbers,2002,2002-05-01,https://doi.org/10.1016/s0012-365x(01)00328-4,article,10,Discrete Mathematics,Limits and Structures in Graph Theory; Advanced Topology and Set Theory,Izolda Gorgol,0000-0003-4394-7387,1,,Ramsey's theorem; Combinatorics; Mathematics; Monochromatic color; Graph; Discrete mathematics; Planar graph; Value (mathematics); Statistics; Physics
0000-0002-3517-9034,W235384855,On random subsets of projective spaces,1991,1991-01-01,https://doi.org/10.4064/cm-62-2-353-356,article,7,Colloquium Mathematicum,Fuzzy and Soft Set Theory,Wojciech Kordecki,0000-0002-6997-3658,1,,Mathematics; Projective test; Pure mathematics; Projective space; Discrete mathematics
0000-0002-3517-9034,W1520825641,An Exponential Bound for the Probability of a Specified Subgraph in a Random Graph,1988,1988-01-01,,article,5,University of Minnesota Digital Conservancy (University of Minnesota),Bayesian Modeling and Causal Inference,Svante Janson; Andrzej Ruciński,0000-0002-9680-2790; 0000-0002-0742-7694,2,,Exponential random graph models; Mathematics; Combinatorics; Random graph; Graph; Exponential function; Discrete mathematics; Computer science
0000-0002-3517-9034,W2054551456,On the connectivity of random subsets of projective spaces,1999,1999-02-01,https://doi.org/10.1016/s0012-365x(98)00201-5,article,5,Discrete Mathematics,Limits and Structures in Graph Theory; Complexity and Algorithms in Graphs; Advanced Graph Theory Research,Wojciech Kordecki,0000-0002-6997-3658,1,,Mathematics; Projective test; Combinatorics; Discrete mathematics; Pure mathematics
0000-0002-3517-9034,W2019293794,Vertex Ramsey Properties of Families of Graphs,2002,2002-03-01,https://doi.org/10.1006/jctb.2001.2078,article,4,Journal of Combinatorial Theory Series B,Limits and Structures in Graph Theory; Advanced Graph Theory Research; Advanced Topology and Set Theory,Andrzej Ruciński,0000-0002-0742-7694,1,,Combinatorics; Mathematics; Vertex (graph theory); Graph; Ramsey's theorem; Discrete mathematics; Colored
0000-0002-3517-9034,W2062105278,Torpid mixing of the Wang–Swendsen–Kotecký algorithm for sampling colorings,2004,2004-07-22,https://doi.org/10.1016/j.jda.2004.05.002,article,12,Journal of Discrete Algorithms,Markov Chains and Monte Carlo Methods; Stochastic processes and statistical mechanics; Theoretical and Computational Physics,,,0,,Mathematics; Markov chain; Combinatorics; Mixing (physics); Bipartite graph; Ergodic theory; Discrete mathematics; Markov chain Monte Carlo; Markov chain mixing time; Stationary distribution; Rejection sampling; Algorithm; Graph; Markov model; Monte Carlo method; Variable-order Markov model; Hybrid Monte Carlo; Statistics
0000-0002-3517-9034,W8458634,On Matchings and Hamiltonian Cycles in Subgraphs of Random Graphs,1987,1987-01-01,https://doi.org/10.1016/s0304-0208(08)73055-x,book-chapter,9,North-Holland mathematics studies,Advanced Graph Theory Research; Limits and Structures in Graph Theory; Graph theory and applications,,,0,,Combinatorics; Disjoint sets; Factor-critical graph; Mathematics; Hamiltonian path; Discrete mathematics; Induced subgraph; Graph; Random graph; Pancyclic graph; Random regular graph; Hamiltonian (control theory); Line graph; Graph power; Pathwidth
